City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
320,Tura,97,IN,1680383767,93,25.5198,90.2201,62.76,1.52
321,Hobyo,84,SO,1680383767,75,5.3505,48.5268,83.48,13.76
322,Varhaug,5,NO,1680383767,74,58.6147,5.6457,36.95,1.3
323,Richards Bay,6,ZA,1680383768,92,-28.783,32.0377,69.75,3.8
324,Meadow Lake,8,US,1680383768,14,34.8014,-106.5436,64.83,5.46
325,Nouadhibou,0,MR,1680383768,26,20.931,-17.0347,84.18,20.71
326,Lüderitz,13,NA,1680383769,90,-26.6481,15.1594,61.48,5.23
327,Half Moon Bay,0,US,1680383769,59,37.4636,-122.4286,66.6,13.8
328,Outlook,100,CA,1680383769,100,51.5001,-107.0513,27.23,3.78
329,Tiruchchendur,33,IN,1680383769,78,8.4833,78.1167,81.05,9.53
330,Oktyabr'skiy,100,RU,1680383770,86,54.4815,53.471,37.58,1.12
331,Leninsk,100,RU,1680383770,50,48.7119,45.1994,47.82,4.43
332,Nador,0,MA,1680383770,56,35.174,-2.9287,68.25,19.57
333,Levice,91,SK,1680383771,85,48.2156,18.6071,51.49,8.28
334,Saint Anthony,0,US,1680383771,60,45.0205,-93.218,38.35,5.75
335,Saint-Augustin,58,CA,1680383771,73,51.226,-58.6502,31.46,12.12
336,Haines Junction,100,CA,1680383772,47,60.7522,-137.5108,30.15,10.36
337,Hambantota,48,LK,1680383772,84,6.1241,81.1185,77.92,2.39
338,Gigmoto,96,PH,1680383772,88,13.7796,124.39,76.55,2.51
339,Olafsvik,76,IS,1680383772,97,64.8945,-23.7142,37.26,24.58
340,Concordia,0,AR,1680383773,50,-31.393,-58.0209,72.79,7.0
341,Songjianghe,8,CN,1680383773,74,42.1859,127.479,41.23,4.32
342,Dărmăneşti,100,RO,1680383773,92,46.3667,26.4833,46.22,2.75
343,Kumul,100,CN,1680383774,23,42.8,93.45,33.21,13.35
344,Magdagachi,100,RU,1680383774,92,53.45,125.8,32.2,8.16
345,Porto-Vecchio,75,FR,1680383774,67,41.591,9.2795,62.13,26.46
346,Klaksvík,99,FO,1680383775,95,62.2266,-6.589,43.72,18.52
347,Rāpar,0,IN,1680383775,63,23.5667,70.6333,76.01,14.5
348,Andilamena,99,MG,1680383775,93,-17.0167,48.5833,65.71,4.07
349,Tuatapere,100,NZ,1680383775,82,-46.1333,167.6833,51.39,12.03
350,Dragør,0,DK,1680383776,58,55.5946,12.6664,39.18,16.11
351,Tautira,6,PF,1680383776,76,-17.7333,-149.15,82.38,11.77
352,Kaputa,43,ZM,1680383776,92,-8.4689,29.6619,65.25,3.69
